Episode     Score       Average     
1           370         370         
2           370         370         
3           260         333.333     
4           350         337.5       
5           390         348         
6           580         386.667     
7           220         362.857     
8           440         372.5       
9           250         358.889     
10          270         350         
11          230         339.091     
12          270         333.333     
13          210         323.846     
14          590         342.857     
15          260         337.333     
16          450         344.375     
17          250         338.824     
18          470         346.111     
